,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
0,1644008400,4422,3785,3383331262,0.6846,1.1105,0.6567,0.9886,40464.27,40473.14278129,3957.273,43000.0
1,1644010200,13438,0,3376566644,0.679,1.1092,0.6461,1.3292,40599.97,40597.46,4106.469,42081.0
2,1644012000,8001,0,3384112028,0.6801,1.108,0.6502,0.8365,40502.46,40512.99720858,4956.429,54043.0
3,1644013800,0,0,3367703906,0.6736,1.112,0.6345,1.2952,40617.2,40623.144187,2889.912,33135.0
4,1644015600,8980,0,3384433980,0.6703,1.1123,0.6337,1.1266,40620.0,40620.29014205,2774.731,35407.0
5,1644017400,2583818,22469,3389378376,0.6683,1.1136,0.6313,1.7088,41550.0,41529.99,26671.068,239070.0
6,1644019200,628628,61919,3386316305,0.7504,1.1141,0.7603,1.0817,41589.45,41614.80356323,14556.652,139062.0
7,1644021000,238914,0,3371233672,0.8734,1.119,0.7784,0.9621,41465.14,41460.10635839,13636.991,124393.0
8,1644022800,136521,0,3332818826,0.8786,1.1188,0.787,0.8958,41353.58,41352.23,6182.108,68649.0
9,1644024600,70,994,3331748261,0.8615,1.1196,0.7584,0.9361,41262.32,41274.75548316,5180.472,56641.0
10,1644026400,4274,0,3325927639,0.8629,1.1243,0.7483,1.3138,41325.01,41334.40317472,4049.661,44693.0
11,1644028200,5627,0,3326109940,0.8839,1.1213,0.7712,1.0316,41350.85,41350.86,2854.256,36270.0
12,1644030000,58332,0,3328672114,0.8943,1.121,0.7844,1.0819,41407.82,41405.80693231,2504.041,33796.0
13,1644031800,54576,0,3331051456,0.8957,1.1223,0.7867,1.06,41428.66,41436.61574823,1798.386,26195.0
14,1644033600,202810,0,3332607570,0.8943,1.1235,0.7854,1.5631,41621.4,41622.78,6103.076,62722.0
15,1644035400,17,0,3355386446,0.908,1.1272,0.8126,0.7597,41451.66,41447.51,4139.849,46386.0
16,1644037200,32188,0,3330374366,0.8983,1.1285,0.796,1.1501,41494.22,41501.87059036,2800.879,34011.0
